source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Genomoviridae/Genomoviridae_all_homologues_19062021_0746_intersection	1_capsid_protein.faa	3_capsid.faa	4_rep.faa	8_replication-associat...faa	28_capsid_protein.faa	32_replication-associat...faa	52_capsid_protein.faa	93_hyp.faa	96_rep1.faa	97_hyp.faa	123_ORF3.faa	131_putative_V2_protein.faa	134_putative_V3_protein.faa	157_hypothetical_protein.faa
Alces-alces-faeces-associated-circular-virus-MP65_taxid_2219143.gbk	ID:YP_009551368.1,	-	-	-	-	-	-	-	-	-	-	-	-	-
Badger-associated-gemykibivirus-1_taxid_1634484.gbk	-	ID:YP_009130621.1,	ID:YP_009130622.1,	-	-	-	-	-	-	-	-	-	-	-
Bark-beetle-associated-genomovirus-1_taxid_2230896.gbk	-	ID:YP_009551419.1,	ID:YP_009551420.1,	-	-	-	-	-	-	-	-	-	-	-
Bark-beetle-associated-genomovirus-5_taxid_2230900.gbk	-	ID:YP_009551469.1,	-	ID:YP_009551470.1,	-	-	-	-	-	-	-	-	-	-
Bemisia-associated-genomovirus-AdDF_taxid_1986477.gbk	-	ID:YP_009388633.1,	-	ID:YP_009388634.2,	-	-	-	-	-	-	-	-	-	-
Bemisia-associated-genomovirus-AdO_taxid_1986478.gbk	-	ID:YP_009388635.1,	-	ID:YP_009388636.1,	-	-	-	-	-	-	-	-	-	-
Bemisia-associated-genomovirus-NfO_taxid_1986479.gbk	-	ID:YP_009388637.1,	ID:YP_009388638.2,	-	-	-	-	-	-	-	-	-	-	-
Black-robin-associated-gemykibivirus-1_taxid_1391037.gbk	-	ID:YP_009109722.1,	-	ID:YP_009109723.1,	-	-	-	-	-	-	-	-	-	-
Blackbird-associated-gemycircularvirus-1_taxid_1985371.gbk	-	ID:YP_009109740.1,	-	ID:YP_009109741.1,	-	-	-	-	-	-	-	-	-	-
Blackbird-associated-gemykibivirus-1_taxid_1391038.gbk	-	ID:YP_009109720.1,	ID:YP_009109721.1,	-	-	-	-	-	-	-	-	-	-	-
Bromus-associated-circular-DNA-virus-3_taxid_1590156.gbk	-	ID:YP_009116900.1,	ID:YP_009116901.1,	-	-	-	-	-	-	-	-	-	-	-
Caribou-feces-associated-gemycircularvirus_taxid_1542743.gbk	-	ID:YP_009058946.1,	ID:YP_009058947.1,	-	-	-	-	-	-	-	-	-	-	-
