source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417_intersection	1_putative_viral_repli...faa	2_hypothetical_protein.faa	3_putative_replication...faa	6_capsid_protein.faa	7_putative_capsid_prot...faa	11_putative_capsid_prot...faa	13_putative_capsid_prot...faa	15_putative_capsid_prot...faa	19_putative_capsid_prot...faa	22_putative_capsid_prot...faa	23_replication-associat...faa	24_putative_capsid_prot...faa	28_putative_capsid_prot...faa	33_putative_capsid_prot...faa	34_replication-associat...faa	35_putative_capsid_prot...faa	38_putative_capsid_prot...faa	40_putative_capsid_prot...faa	42_putative_capsid_prot...faa	44_putative_capsid_prot...faa	45_putative_capsid_prot...faa	48_putative_capsid_prot...faa	70_V2.faa	77_putative_capsid_prot...faa	79_replication_associat...faa	82_replication-associat...faa	84_hypothetical_protein.faa	85_hypothetical_protein.faa	87_putative_viral_capsi...faa	88_hypothetical_protein.faa	90_hypothetical_protein.faa	91_hypothetical_protein.faa	93_hypothetical_protein.faa	96_hypothetical_protein.faa	99_hypothetical_protein.faa	102_hypothetical_protein.faa	103_hypothetical_protein.faa	111_putative_replication...faa	112_hypothetical_protein.faa	114_hypothetical_protein.faa	115_hypothetical_protein.faa	156_putative_capsid_prot...faa	179_ORFC2.faa	191_putative_Cap.faa	195_hypothetical_protein.faa	200_putative_cap_protein.faa	202_hypothetical_protein.faa	205_capsid_protein.faa	206_hypothetical_protein.faa	211_hypothetical_protein.faa	226_putative_structural_...faa	227_putative_capsid_prot...faa	229_putative_capsid_prot...faa	230_putative_replication...faa	242_capsid.faa	244_Cap.faa	250_ORFV2.faa	253_capsid_protein.faa	260_capsid_protein.faa	264_putative_capsid_prot...faa	267_putative_capsid_prot...faa	271_nonstructural_protei...faa	273_putative_capsid_prot...faa	274_hypothetical_protein.faa	276_capsid_protein.faa	280_ORF3.faa	288_putative_replication...faa	295_hypothetical_protein.faa	302_ORFV2.faa	304_ORFC2.faa
Acartia-tonsa-copepod-circovirus_taxid_1168547.gbk	ID:YP_007353980.1,	ID:YP_007353981.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aiptasia-sp-sea-anemone-associated-circular-virus_taxid_1692242.gbk	-	-	ID:YP_009163899.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Apteryx-rowi-circovirus-like-virus_taxid_1634476.gbk	ID:YP_009551679.1,	-	-	ID:YP_009551680.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Arboreal-ant-associated-circular-virus-1_taxid_2293273.gbk	ID:YP_009551365.1,	-	-	-	ID:YP_009551364.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-10_taxid_1618233.gbk	ID:YP_009126898.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-11_taxid_1618234.gbk	ID:YP_009126901.1,	-	-	-	-	ID:YP_009126900.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-12_taxid_1618235.gbk	-	-	ID:YP_009126903.1,	-	-	-	ID:YP_009126902.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-13_taxid_1618236.gbk	ID:YP_009126905.1,	-	-	-	-	-	-	ID:YP_009126904.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-14_taxid_1618237.gbk	ID:YP_009126915.1,	-	-	-	-	-	-	ID:YP_009126914.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
