source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Bacilladnaviridae/Bacilladnaviridae_all_homologues_19062021_0416_intersection	Amphibola-crenata-associated-bacilladnavirus-1_taxid_1941435.gbk	Amphibola-crenata-associated-bacilladnavirus-2_taxid_1941436.gbk	Avon-Heathcote-estuary-associated-bacilladnavirus_taxid_1941437.gbk	Bacillariodnavirus-LDMD-2013_taxid_1379694.gbk	Chaetoceros-protobacilladnavirus-1_taxid_2170140.gbk	Chaetoceros-protobacilladnavirus-3_taxid_2170142.gbk	Chaetoceros-protobacilladnavirus-4_taxid_2170143.gbk	Chaetoceros-sp-DNA-virus-7_taxid_1382995.gbk	
1_P3.faa	ID:YP_009345104.1,	-	-	-	-	-	-	-	
2_P2.faa	ID:YP_009345105.1,	ID:YP_009345084.1,	-	-	-	-	-	-	
4_replication_associat...faa	ID:YP_009345107.1,	ID:YP_009345086.1,	ID:YP_009345097.1,	ID:YP_009109635.1,	ID:YP_473359.1,	-	-	-	
5_P3.faa	-	ID:YP_009345083.1,	-	-	-	-	-	-	
9_P3.faa	-	-	ID:YP_009345093.1,	-	-	-	-	-	
10_hypothetical_protein.faa	-	-	ID:YP_009345094.1,	-	-	-	-	-	
11_P2.faa	-	-	ID:YP_009345095.1,	-	-	-	-	-	
14_hypothetical_protein.faa	-	-	-	ID:YP_009109632.1,	-	-	-	-	
15_hypothetical_protein.faa	-	-	-	ID:YP_009109633.1,	-	-	-	-	
18_hypothetical_protein.faa	-	-	-	-	ID:YP_473358.1,	-	-	-	
20_hypothetical_protein.faa	-	-	-	-	ID:YP_473360.1,	-	-	-	
21_hypothetical_protein.faa	-	-	-	-	ID:YP_473361.1,	-	-	-	
24_hypothetical_protein.faa	-	-	-	-	ID:YP_473363.1,	ID:YP_004286320.1,	-	ID:YP_009001775.1,	
25_hypothetical_protein.faa	ID:YP_009345106.1,	ID:YP_009345085.1,	ID:YP_009345096.1,	ID:YP_009109634.1,	ID:YP_473362.1,	ID:YP_004286321.1,	ID:YP_004046697.1,	ID:YP_009001776.1,	
26_putative_replication-associated_protein.faa	-	-	-	-	-	ID:YP_004286322.1,	ID:YP_004046698.1,	ID:YP_009001777.1,	
27_hypothetical_protein.faa	-	-	-	-	-	-	ID:YP_004046696.1,	-	
