cluster	prevalence	term	what	familia	algoritmo
138_hypothetical_protein	3.9215686274509802	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
139_hypothetical_protein	3.9215686274509802	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
144_ORF3	3.9215686274509802	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
15_ORF2	39.21568627450981	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
150_ORF1-1	1.9607843137254901	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
151_hypothetical_protein	1.9607843137254901	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
152_hypothetical_protein	1.9607843137254901	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
18_VP1	3.9215686274509802	endocytosis involved in viral entry into host cell [GO:0075509]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
18_VP1	3.9215686274509802	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
18_VP1	3.9215686274509802	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
3_VP1	13.725490196078432	endocytosis involved in viral entry into host cell [GO:0075509]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
3_VP1	13.725490196078432	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409/	OMCL
