source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Parvoviridae/cluster_1_homologues_19062021_0804_intersection	1_Putative_nonstructur...faa	2_Putative_nonstructur...faa	3_Putative_nonstructur...faa	4_Putative_structural_...faa	5_Putative_structural_...faa	6_NS3.faa	8_NS2.faa	9_VP1.faa	10_nonstructural_protei...faa	11_capsid_protein.faa	14_Rep_40_protein.faa	17_major_coat_protein_V...faa	18_assembly_activating_...faa	20_X_gene.faa	27_hypothetical_protein.faa	28_hypothetical_protein.faa	29_hypothetical_protein.faa	36_Cap.faa	40_NP1.faa	46_VP2.faa	54_non-structural_prote...faa	56_non-structural_prote...faa	69_NS2.faa	70_capsid_protein_VP.faa	73_orf4.faa	89_NS1.faa	91_hypothetical_protein.faa	109_polyprotein.faa	111_hypothetical_protein.faa	116_NP1.faa	120_NS2.faa	125_cap.faa	129_putative_nonstructur...faa	131_putative_structural_...faa	132_putative_structural_...faa	141_putative_non-structu...faa	146_MARF.faa	166_NS2.faa	183_7.5-kDa.faa	185_X.faa	187_11-kDa.faa	199_NS1.faa	211_VP.faa	212_VP.faa	213_VP.faa	223_putative_nonstructur...faa	224_putative_nonstructur...faa	225_putative_nonstructur...faa	238_ORF2.faa	241_putative_structural_...faa	244_putative_nonstructur...faa	275_PT4.faa	280_SAT.faa	290_NS2.faa	312_structural_protein.faa	324_NS3.faa	328_VP1.faa	331_NP.faa
Acheta-domestica-densovirus_taxid_185639.gbk	ID:YP_227599.1,	ID:YP_227600.1,	ID:YP_227601.1,	ID:YP_227602.1,	ID:YP_227603.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk	-	ID:YP_008658568.1,	-	-	-	ID:YP_008658567.1,	ID:YP_008658569.1,	ID:YP_008658570.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adeno-associated-virus--1_taxid_85106.gbk	-	-	-	-	-	-	-	-	ID:NP_049541.1,	ID:NP_049542.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adeno-associated-virus--2_taxid_10804.gbk	-	-	-	-	-	-	-	-	ID:YP_680422.1,ID:YP_680423.1,	ID:YP_680426.1,	ID:YP_680424.1,ID:YP_680425.1,	ID:YP_680427.1,ID:YP_680428.1,	ID:YP_004030758.1,	ID:YP_009110690.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adeno-associated-virus--3_taxid_46350.gbk	-	-	-	-	-	-	-	-	ID:NP_043940.1,	ID:NP_043941.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adeno-associated-virus--4_taxid_57579.gbk	-	-	-	-	-	-	-	-	ID:NP_044926.1,	ID:NP_044927.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adeno-associated-virus_taxid_272636.gbk	-	-	-	-	-	-	-	-	ID:YP_009552823.1,	ID:YP_009552824.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Aleutian-mink-disease-virus_taxid_28314.gbk	-	-	-	-	-	-	-	-	-	-	-	ID:NP_042875.1,	-	-	ID:NP_042872.1,	ID:NP_042873.1,	ID:NP_042874.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amdoparvovirus-sp_taxid_1908805.gbk	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009315909.1,	-	-	ID:YP_009315908.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Artibeus-jamaicensis-parvovirus-1_taxid_1131485.gbk	-	-	-	-	-	-	-	-	ID:YP_005097851.1,	ID:YP_005097852.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avian-adeno-associated-virus-ATCC-VR-865_taxid_219704.gbk	-	-	-	-	-	-	-	-	ID:NP_852780.1,	-	-	-	-	-	-	-	-	ID:NP_852781.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avian-adeno-associated-virus-strain-DA-1_taxid_281492.gbk	-	-	-	-	-	-	-	-	ID:YP_077182.1,	ID:YP_077183.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bat-bocavirus-WM40_taxid_2259810.gbk	-	-	-	-	-	-	-	-	-	ID:YP_009508791.1,	ID:YP_009508789.1,	ID:YP_009508792.1,	-	-	-	-	-	-	ID:YP_009508790.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
