source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Geminiviridae/cluster_1_homologues_19062021_0435_intersection	6_AC1.faa	7_AC4.faa	12_AC4.faa	30_AV2.faa	56_AR1.faa	57_AL3.faa	58_AL2.faa	59_BR1.faa	60_BL1.faa	64_orf6.faa	66_orf7.faa	276_REn.faa	323_1R2b.faa	325_AL5.faa	378_AL4.faa	585_AC4_5_2.faa	752_AV2.faa
Abutilon-Brazil-virus_taxid_665102.gbk	ID:YP_003622544.1,	ID:YP_003622545.1,	-	-	ID:YP_003622541.1,	ID:YP_003622542.1,	ID:YP_003622543.1,	ID:YP_003622546.1,	ID:YP_003622547.1,	-	-	-	-	-	-	-	-
Abutilon-mosaic-Bolivia-virus_taxid_932071.gbk	ID:YP_004207822.1,	-	ID:YP_004207823.1,	-	ID:YP_004207819.1,	ID:YP_004207820.1,	ID:YP_004207821.1,	ID:YP_004207831.1,	ID:YP_004207832.1,	-	-	-	-	-	-	-	-
Abutilon-mosaic-Brazil-virus_taxid_1046572.gbk	ID:YP_004958227.1,	ID:YP_004958228.1,	-	-	ID:YP_004958224.1,	ID:YP_004958225.1,	ID:YP_004958226.1,	ID:YP_004958237.1,	ID:YP_004958238.1,	-	-	-	-	-	-	-	-
Abutilon-mosaic-virus_taxid_10815.gbk	ID:NP_047218.2,	-	-	-	ID:NP_047215.2,	ID:NP_047216.1,	ID:NP_047217.2,	ID:NP_047219.2,	ID:NP_047220.2,	-	-	-	-	-	-	-	-
Asystasia-mosaic-Madagascar-virus_taxid_1611435.gbk	ID:YP_009121940.1,	-	ID:YP_009121941.1,	ID:YP_009121936.1,	ID:YP_009121937.1,	ID:YP_009121938.1,	ID:YP_009121939.1,	ID:YP_009121934.1,	ID:YP_009121935.1,	-	-	-	-	-	-	-	-
Bean-calico-mosaic-virus_taxid_31602.gbk	ID:NP_612597.1,	ID:NP_612598.1,	-	-	ID:NP_612594.1,	ID:NP_612595.1,	ID:NP_612596.1,	ID:NP_612599.1,	ID:NP_612600.1,	-	-	-	-	-	-	-	-
Bean-chlorosis-virus_taxid_1227354.gbk	ID:YP_007024783.1,	-	ID:YP_007024784.1,	-	ID:YP_007024780.1,	ID:YP_007024781.1,	ID:YP_007024782.1,	ID:YP_007024778.1,	ID:YP_007024779.1,	-	-	-	-	-	-	-	-
Bean-dwarf-mosaic-virus_taxid_10838.gbk	ID:NP_047223.1,	-	-	-	ID:NP_047224.1,	ID:NP_047225.1,	ID:NP_047226.1,	ID:NP_047221.1,	ID:NP_047222.1,	-	-	-	-	-	-	-	-
Bean-golden-yellow-mosaic-virus-Dominican-Republic_taxid_222445.gbk	-	-	-	-	ID:YP_009507975.1,	ID:YP_009507976.1,	ID:YP_009507977.1,	ID:YP_009507973.1,	ID:YP_009507974.1,	-	-	-	-	-	-	-	-
Bean-golden-yellow-mosaic-virus_taxid_220340.gbk	ID:NP_040770.1,	-	-	-	ID:NP_040772.1,	ID:NP_040774.1,	ID:NP_040775.1,	ID:NP_040768.1,	ID:NP_040769.1,	ID:NP_040771.1,	ID:NP_040773.1,	-	-	-	-	-	-
Blainvillea-yellow-spot-virus_taxid_536081.gbk	ID:YP_001960962.1,	-	ID:YP_001960963.1,	-	ID:YP_001960959.1,	ID:YP_001960960.1,	ID:YP_001960961.1,	ID:YP_001960964.1,	ID:YP_001960965.1,	-	-	-	-	-	-	-	-
Cabbage-leaf-curl-virus_taxid_51336.gbk	ID:NP_620884.1,	ID:NP_620888.1,	-	-	ID:NP_620885.1,	ID:NP_620886.1,	ID:NP_620887.1,	ID:NP_624352.1,	ID:NP_624353.1,	-	-	-	-	-	-	-	-
