1,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512409.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|A|1485|NC_007821(6068):759-2243:1 ^GeneID:3959371^ Enterobacteria phage WA13, complete genome.|neighbours:start(),ID:YP_512410.1(1)|neighbour_genes:start(),B|
2,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512410.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|B|354|NC_007821(6068):1805-2158:1 ^GeneID:3959372^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512409.1(1),ID:YP_512411.1(1)|neighbour_genes:A,K|
3,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512411.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|K|162|NC_007821(6068):2158-2319:1 ^GeneID:3959373^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512410.1(1),ID:YP_512412.1(1)|neighbour_genes:B,C|
4,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512412.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|C|207|NC_007821(6068):2270-2476:1 ^GeneID:3959374^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512411.1(1),ID:YP_512413.1(1)|neighbour_genes:K,D|
5,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512413.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|D|459|NC_007821(6068):2520-2978:1 ^GeneID:3959375^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512412.1(1),ID:YP_512414.1(1)|neighbour_genes:C,E|
6,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512414.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|E|231|NC_007821(6068):2698-2928:1 ^GeneID:3959376^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512413.1(1),ID:YP_512415.1(1)|neighbour_genes:D,J|
7,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512415.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|J|75|NC_007821(6068):2980-3054:1 ^GeneID:3959377^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512414.1(1),ID:YP_512416.1(1)|neighbour_genes:E,F|
8,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512416.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|F|1284|NC_007821(6068):3089-4372:1 ^GeneID:3959378^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512415.1(1),ID:YP_512417.1(1)|neighbour_genes:J,G|
9,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512417.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|G|546|NC_007821(6068):4410-4955:1 ^GeneID:3959379^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512416.1(1),ID:YP_512418.1(1)|neighbour_genes:F,H|
10,Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk,ID:YP_512418.1 |[Enterobacteria phage WA13 sensu lato]||Enterobacteria-phage-WA13-sensu-lato_taxid_489828.gbk|H|978|NC_007821(6068):5091-6068:1 ^GeneID:3959380^ Enterobacteria phage WA13, complete genome.|neighbours:ID:YP_512417.1(1),end()|neighbour_genes:G,end()|
11,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512379.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|A|1485|NC_007818(6068):761-2245:1 ^GeneID:3959338^ Coliphage ID21, complete genome.|neighbours:start(),ID:YP_512380.1(1)|neighbour_genes:start(),B|
12,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512380.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|B|354|NC_007818(6068):1807-2160:1 ^GeneID:3959339^ Coliphage ID21, complete genome.|neighbours:ID:YP_512379.1(1),ID:YP_512381.1(1)|neighbour_genes:A,K|
13,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512381.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|K|189|NC_007818(6068):2160-2348:1 ^GeneID:3959344^ Coliphage ID21, complete genome.|neighbours:ID:YP_512380.1(1),ID:YP_512382.1(1)|neighbour_genes:B,C|
14,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512382.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|C|207|NC_007818(6068):2272-2478:1 ^GeneID:3959340^ Coliphage ID21, complete genome.|neighbours:ID:YP_512381.1(1),ID:YP_512383.1(1)|neighbour_genes:K,D|
15,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512383.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|D|459|NC_007818(6068):2521-2979:1 ^GeneID:3959341^ Coliphage ID21, complete genome.|neighbours:ID:YP_512382.1(1),ID:YP_512384.1(1)|neighbour_genes:C,E|
16,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512384.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|E|231|NC_007818(6068):2699-2929:1 ^GeneID:3959342^ Coliphage ID21, complete genome.|neighbours:ID:YP_512383.1(1),ID:YP_512385.1(1)|neighbour_genes:D,J|
17,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512385.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|J|75|NC_007818(6068):2981-3055:1 ^GeneID:3959343^ Coliphage ID21, complete genome.|neighbours:ID:YP_512384.1(1),ID:YP_512386.1(1)|neighbour_genes:E,F|
18,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512386.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|F|1284|NC_007818(6068):3090-4373:1 ^GeneID:3959345^ Coliphage ID21, complete genome.|neighbours:ID:YP_512385.1(1),ID:YP_512387.1(1)|neighbour_genes:J,G|
19,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512387.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|G|546|NC_007818(6068):4410-4955:1 ^GeneID:3959346^ Coliphage ID21, complete genome.|neighbours:ID:YP_512386.1(1),ID:YP_512388.1(1)|neighbour_genes:F,H|
20,Escherichia-phage-ID21_taxid_338101.gbk,ID:YP_512388.1 |[Escherichia phage ID21]||Escherichia-phage-ID21_taxid_338101.gbk|H|978|NC_007818(6068):5091-6068:1 ^GeneID:3959347^ Coliphage ID21, complete genome.|neighbours:ID:YP_512387.1(1),end()|neighbour_genes:G,end()|
21,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512389.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|A|1485|NC_007819(6071):763-2247:1 ^GeneID:3959352^ Coliphage ID32, complete genome.|neighbours:start(),ID:YP_512390.1(1)|neighbour_genes:start(),B|
22,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512390.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|B|354|NC_007819(6071):1809-2162:1 ^GeneID:3959353^ Coliphage ID32, complete genome.|neighbours:ID:YP_512389.1(1),ID:YP_512391.1(1)|neighbour_genes:A,K|
23,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512391.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|K|162|NC_007819(6071):2162-2323:1 ^GeneID:3959354^ Coliphage ID32, complete genome.|neighbours:ID:YP_512390.1(1),ID:YP_512392.1(1)|neighbour_genes:B,C|
24,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512392.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|C|207|NC_007819(6071):2274-2480:1 ^GeneID:3959355^ Coliphage ID32, complete genome.|neighbours:ID:YP_512391.1(1),ID:YP_512393.1(1)|neighbour_genes:K,D|
25,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512393.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|D|459|NC_007819(6071):2524-2982:1 ^GeneID:3959356^ Coliphage ID32, complete genome.|neighbours:ID:YP_512392.1(1),ID:YP_512394.1(1)|neighbour_genes:C,E|
26,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512394.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|E|231|NC_007819(6071):2702-2932:1 ^GeneID:3959357^ Coliphage ID32, complete genome.|neighbours:ID:YP_512393.1(1),ID:YP_512395.1(1)|neighbour_genes:D,J|
27,Escherichia-phage-ID32_taxid_338102.gbk,ID:YP_512395.1 |[Escherichia phage ID32]||Escherichia-phage-ID32_taxid_338102.gbk|J|75|NC_007819(6071):2984-3058:1 ^GeneID:3959358^ Coliphage ID32, complete genome.|neighbours:ID:YP_512394.1(1),ID:YP_512396.1(1)|neighbour_genes:E,F|
