source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Smacoviridae/Smacoviridae_all_homologues_19062021_0820_intersection	1_capsid_protein.faa	2_replication_associat...faa	16_ORF2.faa	32_ORF3_protein.faa	33_replication-associat...faa	34_capsid_protein.faa	43_ORF5.faa	44_ORF3.faa	45_ORF6.faa	47_ORF4.faa	75_hypothetical_protein.faa	78_hypothetical_protein.faa	97_Rep_protein.faa
Alces-alces-faeces-associated-smacovirus-MP78_taxid_2219142.gbk	ID:YP_009551449.1,	ID:YP_009551450.1,	-	-	-	-	-	-	-	-	-	-	-
Bovine-faeces-associated-smacovirus-1_taxid_1843749.gbk	ID:YP_009252315.1,	ID:YP_009252316.1,	-	-	-	-	-	-	-	-	-	-	-
Bovine-faeces-associated-smacovirus-2_taxid_1843750.gbk	ID:YP_009252305.1,	ID:YP_009252306.1,	-	-	-	-	-	-	-	-	-	-	-
Bovine-faeces-associated-smacovirus-3_taxid_1843751.gbk	ID:YP_009252313.1,	ID:YP_009252314.1,	-	-	-	-	-	-	-	-	-	-	-
Bovine-faeces-associated-smacovirus-4_taxid_1843752.gbk	ID:YP_009252323.1,	ID:YP_009252324.1,	-	-	-	-	-	-	-	-	-	-	-
Bovine-faeces-associated-smacovirus-5_taxid_1843753.gbk	ID:YP_009252317.1,	ID:YP_009252318.1,	-	-	-	-	-	-	-	-	-	-	-
Bovine-faeces-associated-smacovirus-6_taxid_1843754.gbk	ID:YP_009252325.1,	ID:YP_009252326.1,	-	-	-	-	-	-	-	-	-	-	-
Camel-associated-drosmacovirus-1_taxid_2169876.gbk	ID:YP_009508833.1,	ID:YP_009508831.1,	ID:YP_009508832.1,	-	-	-	-	-	-	-	-	-	-
Camel-associated-drosmacovirus-2_taxid_2169877.gbk	ID:YP_009508836.1,	ID:YP_009508834.1,	ID:YP_009508835.1,	-	-	-	-	-	-	-	-	-	-
Camel-associated-porprismacovirus-1_taxid_2170105.gbk	ID:YP_009508849.1,	ID:YP_009508847.1,	ID:YP_009508848.1,	-	-	-	-	-	-	-	-	-	-
Camel-associated-porprismacovirus-2_taxid_2170106.gbk	ID:YP_009508851.1,	ID:YP_009508850.1,	-	-	-	-	-	-	-	-	-	-	-
Camel-associated-porprismacovirus-3_taxid_2170107.gbk	ID:YP_009508853.1,	ID:YP_009508852.1,	-	-	-	-	-	-	-	-	-	-	-
Camel-associated-porprismacovirus-4_taxid_2170108.gbk	ID:YP_009508855.1,	ID:YP_009508854.1,	-	-	-	-	-	-	-	-	-	-	-
Cattle-blood-associated-circovirus-like-virus_taxid_2077298.gbk	ID:YP_009551944.1,	ID:YP_009551943.1,	-	ID:YP_009551945.1,	ID:YP_009553550.1,	ID:YP_009553551.1,	-	-	-	-	-	-	-
Chicken-associated-huchismacovirus-1_taxid_2169932.gbk	ID:YP_009508838.1,	ID:YP_009508837.1,	-	-	-	-	-	-	-	-	-	-	-
Chicken-associated-huchismacovirus-2_taxid_2169933.gbk	ID:YP_009508840.1,	ID:YP_009508839.1,	-	-	-	-	-	-	-	-	-	-	-
Chicken-associated-smacovirus_taxid_1932006.gbk	ID:YP_009337833.1,	ID:YP_009337832.1,	-	-	-	-	-	-	-	-	-	-	-
Chimpanzee-associated-porprismacovirus-1_taxid_2170109.gbk	ID:YP_009508856.1,	ID:YP_009508857.1,	-	-	-	-	-	-	-	-	-	-	-
Chimpanzee-associated-porprismacovirus-2_taxid_2170110.gbk	ID:YP_009508861.1,	ID:YP_009508863.1,	-	-	-	-	ID:YP_009508858.1,	ID:YP_009508859.1,	ID:YP_009508860.1,	ID:YP_009508862.1,	-	-	-
Fly-associated-circular-virus-4_taxid_2293284.gbk	ID:YP_009551393.1,	ID:YP_009551392.1,	-	-	-	-	-	-	-	-	-	-	-
Gorilla-associated-porprismacovirus-1_taxid_2170111.gbk	ID:YP_009118275.1,	ID:YP_009118276.1,	-	-	-	-	-	-	-	-	-	-	-
