source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820_intersection	Bovine-faeces-associated-smacovirus-1_taxid_1843749.gbk	Bovine-faeces-associated-smacovirus-2_taxid_1843750.gbk	Bovine-faeces-associated-smacovirus-3_taxid_1843751.gbk	Bovine-faeces-associated-smacovirus-4_taxid_1843752.gbk	Bovine-faeces-associated-smacovirus-5_taxid_1843753.gbk	Bovine-faeces-associated-smacovirus-6_taxid_1843754.gbk	Chimpanzee-associated-porprismacovirus-1_taxid_2170109.gbk	Chimpanzee-associated-porprismacovirus-2_taxid_2170110.gbk	Gorilla-associated-porprismacovirus-1_taxid_2170111.gbk	Howler-monkey-associated-porprismacovirus-1_taxid_2170112.gbk	Human-associated-huchismacovirus-1_taxid_2169934.gbk	Human-associated-huchismacovirus-2_taxid_2169935.gbk	Human-associated-huchismacovirus-3_taxid_2169936.gbk	Human-associated-porprismacovirus-2_taxid_2170114.gbk	Human-feces-smacovirus-2_taxid_1820158.gbk	Human-feces-smacovirus-3_taxid_1820159.gbk	Human-smacovirus-1_taxid_1595998.gbk	Lemur-associated-porprismacovirus-1_taxid_2170115.gbk	Odonata-associated-circular-virus-21_taxid_1592122.gbk	Odonata-associated-circular-virus-5_taxid_1592125.gbk	Pig-stool-associated-circular-ssDNA-virus-GER2011_taxid_1114942.gbk	PoSCV-Kor-J481_taxid_1488557.gbk	Porcine-associated-porprismacovirus-10_taxid_2170117.gbk	Porcine-associated-porprismacovirus-3_taxid_2170119.gbk	Porcine-associated-porprismacovirus-5_taxid_2170121.gbk	Porcine-associated-porprismacovirus-6_taxid_2170122.gbk	Porcine-associated-porprismacovirus-7_taxid_2170123.gbk	Porcine-associated-porprismacovirus-8_taxid_2170124.gbk	Porcine-associated-porprismacovirus-9_taxid_2170125.gbk	Porcine-stool-associated-circular-virus-2_taxid_1328031.gbk	Porcine-stool-associated-circular-virus_taxid_1843773.gbk	Rat-associated-porprismacovirus-1_taxid_2170126.gbk	Sheep-faeces-associated-smacovirus-2_taxid_1843757.gbk	Sheep-faeces-associated-smacovirus-3_taxid_1843758.gbk	
1_putative_capsid_prot...faa	ID:YP_009252315.1,	ID:YP_009252305.1,	ID:YP_009252313.1,	ID:YP_009252323.1,	ID:YP_009252317.1,	ID:YP_009252325.1,	ID:YP_009508856.1,	ID:YP_009508861.1,	ID:YP_009118275.1,	ID:YP_009118271.1,	ID:YP_009508841.1,	ID:YP_009508843.1,	ID:YP_009508845.1,	ID:YP_009118273.1,	ID:YP_009508864.1,	ID:YP_009408602.1,	ID:YP_009116878.1,	ID:YP_009118277.1,	ID:YP_009508828.1,	ID:YP_009508829.1,	ID:YP_006331068.1,	ID:YP_009030024.1,	ID:YP_009252319.1,	ID:YP_007974229.1,	ID:YP_009054984.1,	ID:YP_009054992.1,	ID:YP_009054986.1,	ID:YP_009054990.1,	ID:YP_009054988.1,	ID:YP_007974227.1,	ID:YP_009252321.1,	ID:YP_009163760.1,	ID:YP_009252311.1,	ID:YP_009252307.1,	
2_replication_associat...faa	ID:YP_009252316.1,	ID:YP_009252306.1,	ID:YP_009252314.1,	ID:YP_009252324.1,	ID:YP_009252318.1,	ID:YP_009252326.1,	ID:YP_009508857.1,	ID:YP_009508863.1,	ID:YP_009118276.1,	ID:YP_009118272.1,	ID:YP_009508842.1,	ID:YP_009508844.1,	ID:YP_009508846.1,	ID:YP_009118274.1,	ID:YP_009508865.1,	ID:YP_009408603.1,	ID:YP_009116879.1,	ID:YP_009118278.1,	ID:YP_009508827.1,	ID:YP_009508830.1,	ID:YP_006331067.1,	ID:YP_009030025.1,	ID:YP_009252320.1,	ID:YP_007974230.1,	ID:YP_009054985.1,	ID:YP_009054993.1,	ID:YP_009054987.1,	ID:YP_009054991.1,	-	ID:YP_007974228.1,	ID:YP_009252322.1,	ID:YP_009163761.1,	ID:YP_009252312.1,	ID:YP_009252308.1,	
15_ORF5.faa	-	-	-	-	-	-	-	ID:YP_009508858.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
16_ORF3.faa	-	-	-	-	-	-	-	ID:YP_009508859.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
17_ORF6.faa	-	-	-	-	-	-	-	ID:YP_009508860.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
19_ORF4.faa	-	-	-	-	-	-	-	ID:YP_009508862.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
45_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_006331066.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	
48_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_006331069.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	
49_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_006331070.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	
65_Rep_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009054989.1,	-	-	-	-	-	
